"","text","retweet_count","favorited","truncated","id_str","in_reply_to_screen_name","source","retweeted","created_at","in_reply_to_status_id_str","in_reply_to_user_id_str","lang","listed_count","verified","location","user_id_str","description","geo_enabled","user_created_at","statuses_count","followers_count","favourites_count","protected","user_url","name","time_zone","user_lang","utc_offset","friends_count","screen_name","country_code","country","place_type","full_name","place_name","place_id","place_lat","place_lon","lat","lon","expanded_url","url"
"14","""work with muslims""? Curious prejudices you hold there! https://t.co/3vEuy52YbV",0,FALSE,FALSE,"983631828274876416",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:37 +0000 2018",NA,NA,"en",19,FALSE,"Everywhere","30627297","Answerable to none but my conscience",FALSE,"Sun Apr 12 09:15:09 +0000 2009",19998,1154,1217,FALSE,NA,"dread lock","Pacific Time (US & Canada)","en",-25200,2469,"judicature",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/jerry4harvick/status/983626899200061440","https://t.co/3vEuy52YbV"
"15","RT @Habeebinamdar: It wasn’t just bombs,it was potent Chemical Gas inside them that ate their veins!
80 dead gassed &amp; 1000 exposed victims.…",893,FALSE,FALSE,"983631828614606848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:37 +0000 2018",NA,NA,"en",3,FALSE,"Maiduguri, Nigeria","1201547070","rare!",TRUE,"Wed Feb 20 16:41:03 +0000 2013",24779,2581,2205,FALSE,NA,"Hauwa<ed><U+00A0><U+00BE><ed><U+00B6><U+0084>",NA,"en",NA,659,"Mss_Snowball",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","RT @Rachael_Swindon: Poll: Syria is clearly a mess. What should Britain do?
Please vote and retweet for the widest possible audience.",528,FALSE,FALSE,"983631830388760576",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",114,FALSE,NA,"72529640",NA,FALSE,"Tue Sep 08 11:23:01 +0000 2009",144838,929,522,FALSE,NA,"Voice of Reason",NA,"en",NA,411,"GoldenOldieC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","RT @RonPaul: Another False Flag - Will Trump Escalate In Syria? https://t.co/v8ZAPaNRnh",235,FALSE,FALSE,"983631831433203713",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",0,FALSE,"Ohio, USA","875153254874845184","America first,period.    No more foreign entanglements,<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8>",FALSE,"Thu Jun 15 00:49:30 +0000 2017",532,79,568,FALSE,NA,"zane bland",NA,"en",NA,347,"zanebland2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.youtube.com/watch?v=L8Udgh_aECE","https://t.co/v8ZAPaNRnh"
"18","RT @RonPaul: Another False Flag - Will Trump Escalate In Syria? https://t.co/v8ZAPaNRnh",236,FALSE,FALSE,"983631832498561024",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",1,FALSE,"Iwakuni-shi, Yamaguchi","3268017432","To learn who rules over you, simply see who you're not allowed to criticize --- Voltaire ---",FALSE,"Sat Jul 04 12:28:42 +0000 2015",2143,19,1141,FALSE,NA,"Dominic Tekaru","Pacific Time (US & Canada)","en",-25200,23,"Shleazar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.youtube.com/watch?v=L8Udgh_aECE","https://t.co/v8ZAPaNRnh"
"19","What a jam-packed show we have on @FoxFriendsFirst. A @GriffJenkins exclusive at the border. We could see action in… https://t.co/QgM8AKEdJz",0,FALSE,TRUE,"983631833479991297",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",165,TRUE,"New York, USA","33125742","Todd Piro currently serves as a correspondent and host as part of the FOX & Friends team. He joined Fox News Channel (FNC) in June 2017.",FALSE,"Sun Apr 19 04:14:17 +0000 2009",20981,7182,3916,FALSE,"http://foxnews.com","Todd Piro","Pacific Time (US & Canada)","en",-25200,478,"ToddPiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/i/web/status/983631833479991297","https://t.co/QgM8AKEdJz"
"20","RT @wagepeaceau: @RNDrive @RichardMarlesMP @PatsKarvelas Stand up Richard and make a difference. Lead a movement against war. Differentiate…",1,FALSE,FALSE,"983631835195367424",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:39 +0000 2018",NA,NA,"en",8,FALSE,"Australia","839300018192318464","Strategic messaging support 4 activitie & groups disturbing war & militarism in Australia. We 'organise' & 'mobilise' 2 #endwarculture #nomoreUSwars @pestoriusm",TRUE,"Wed Mar 08 02:21:32 +0000 2017",4541,382,1944,FALSE,"https://twitter.com/wagepeaceau","#WagePeace",NA,"en",NA,417,"wagepeaceau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","RT @HillelNeuer: Recap: our @UN leaders.
<ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> Iran sits on @UN_Women
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6> Saudi Arabia on @UN_HRC + @UN_CSW (women's rights)
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> Turkey on @UN C…",334,FALSE,FALSE,"983631833282809856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",0,FALSE,NA,"949251307159814144",NA,FALSE,"Fri Jan 05 12:08:42 +0000 2018",75,1,83,FALSE,NA,"Daniel Hellström",NA,"sv",NA,70,"DanielBj0rn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","@TimesNewsdesk You Can Help Send a Freelance Journalist to Turkey &amp; Syria To Report on Crisis Online… https://t.co/E5rRRETNfK",0,FALSE,TRUE,"983631837485400064","TimesNewsdesk","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:39 +0000 2018",NA,"234447761","en",52,FALSE,"Worldwide","41991204","Stand-up Comedian, Actor, Writer & reinforcer of stereotypes, I am white, can't dance, can't jump, have small,,,shoes and of course love hockey.",TRUE,"Sat May 23 07:06:10 +0000 2009",5536,1636,1538,FALSE,"http://www.reverbnation.com/canadiancomedian","Canadian Comedian","Pacific Time (US & Canada)","en",-25200,4862,"TheCdnComedian",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/i/web/status/983631837485400064","https://t.co/E5rRRETNfK"
"23","RT @NeilClark66: Nauseating hypocrisy yet again from the NeoCon Establishment. Silence on the genocide in #Yemen, silence on the Israeli ki…",620,FALSE,FALSE,"983631837888172032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:39 +0000 2018",NA,NA,"en",14,FALSE,"Nairobi","318369987","Peace ,Justice and Development Activist,  A believer in Cristianity and a panafricanist",FALSE,"Thu Jun 16 11:31:35 +0000 2011",10544,582,5658,FALSE,NA,"kiplagat vincent","Baghdad","en",10800,2460,"kiplagatvincent",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","RT @HichamYezza: Tony Blair invited again on #r4today, being asked “what should we do about Syria?” and still literally saying stuff like “…",4,FALSE,FALSE,"983631839356219392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:40 +0000 2018",NA,NA,"en",2,FALSE,"The good old days (1847)","196535568","Here to help ensure a smooth leap into the abyss, post brexit. Have no time for reason, facts or lefty do-gooders! Bah!!",FALSE,"Wed Sep 29 10:22:04 +0000 2010",7358,110,3257,FALSE,NA,"General Leigh Surly",NA,"en",NA,97,"toots2uk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","RT @Charles_Lister: @Qattouby @hrw @thedailybeast #Russia is blustering hard, as U.S. military action in #Syria looks increasingly likely.…",18,FALSE,FALSE,"983631839750320129",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:40 +0000 2018",NA,NA,"en",1,FALSE,"YORBA  LINDA CA","73724437","Teaches speech & debate at Fullerton College",FALSE,"Sat Sep 12 20:15:09 +0000 2009",2578,79,5623,FALSE,"https://www.facebook.com/doug.kresse","Doug Kresse",NA,"en",NA,385,"dkresse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","RT @TimothyKenison: Finishing ISIS off in Syria and defending cyberattacks from Russia are infinitely more pressing issues of national secu…",7,FALSE,FALSE,"983631841574998016",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:40 +0000 2018",NA,NA,"en",418,FALSE,NA,"456334233",NA,FALSE,"Fri Jan 06 04:05:48 +0000 2012",330010,3492,249115,FALSE,NA,"John Czerwonka",NA,"en",NA,5001,"JohnCzer1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","RT @FatemahAlabed: This from #Syria now. You may not have the power to change everything, but you can help spread the word. Silence is much…",952,FALSE,FALSE,"983631842342572032",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:40 +0000 2018",NA,NA,"en",53,FALSE,NA,"117048165",NA,FALSE,"Wed Feb 24 11:08:40 +0000 2010",2382,38,879,FALSE,"http://www.spoonconcept.com","spoonconcept","Pacific Time (US & Canada)","fr",-25200,125,"spoonconcept",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","“The Russian regime, whose hands are also covered in the blood of Syrian children, cannot be shamed by pictures… https://t.co/A0cYmwbTcW",0,FALSE,FALSE,"983631843827298304",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",FALSE,"Tue Apr 10 09:04:41 +0000 2018",NA,NA,"en",211,FALSE,"qui.","51781061","Promemoria:ricordati di vivere oggi. Domani non sai se potrai farlo.             Conosco un sacco di banalità simili a questa",FALSE,"Sun Jun 28 17:12:37 +0000 2009",111707,6484,2872,FALSE,NA,"ItaliaRialzati","Rome","it",7200,2596,"imfree81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.cnn.com/2018/04/09/politics/haley-un-russia-syria-attack/index.html","https://t.co/A0cYmwbTcW"
"29","RT @tobiaschneider: In a visit to Hmeimim, Putin himself commended Suheil Hassan for his ""results-oriented"" approach. Hasssan's command pio…",7,FALSE,FALSE,"983631844519358464",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:41 +0000 2018",NA,NA,"en",69,FALSE,"http://t.co/Y9GoRXq8rb","389701913","''Only the unloved hate - the unloved and the unnatural!'' - Chaplin",FALSE,"Wed Oct 12 21:24:15 +0000 2011",79405,941,35759,FALSE,"https://www.youtube.com/watch?v=XO1aXfXPuUA&feature=youtu.be","Heisse Duensch","Greenland","de",-7200,1170,"Heisse13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","""Bogdanov was quoted as saying by the agency that there were “working  contacts” between Russia and U.S. officials… https://t.co/6ekDg7Bd4E",0,FALSE,TRUE,"983631846024986624",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:41 +0000 2018",NA,NA,"en",1,FALSE,NA,"3263168888","Christ is my Lord and Savior, follower of the Prince of Peace, @ Salvation Army Gold Coast Temple, Queensland, Australia.",TRUE,"Wed Jul 01 11:20:55 +0000 2015",453,62,877,FALSE,NA,"Sorcha MacIver","Brisbane","en",36000,644,"goldcoastsally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/i/web/status/983631846024986624","https://t.co/6ekDg7Bd4E"
"31","Glad all the ""anti-interventionists"" are against this, too, and want to ""cooperate"" with Putin instead. They are al… https://t.co/exo1KOWDks",0,FALSE,TRUE,"983631846834561024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:41 +0000 2018",NA,NA,"en",7,FALSE,NA,"337430047","Days on the Left Without Defending Genocide: 0",TRUE,"Mon Jul 18 01:04:52 +0000 2011",19655,626,19947,FALSE,NA,"ChadInternationalist",NA,"en",NA,3019,"WASBAPPIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://twitter.com/i/web/status/983631846834561024","https://t.co/exo1KOWDks"
"32","RT @AlSuraEnglish: #BREAKING - #Russian Black Sea Fleet declares high level combat alert for all vessels as #US-led trans-national strike f…",65,FALSE,FALSE,"983631847216197633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:42 +0000 2018",NA,NA,"en",24,FALSE,"Chiang Mai -Thailand","389173651","Politicians can't say what they really feel. I can. So far.

#PredictTheNextCorbynSmear #FreeAhedTamimi #BBCSilence #ApartheidIsrael #FBPE",TRUE,"Wed Oct 12 00:08:02 +0000 2011",21958,2080,982,FALSE,NA,"jeff hambleton #FBPE","Bangkok","en",25200,4888,"jeffinchiangma2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","After Douma, the west’s response to Syria’s regime must be military | Simon Tisdall https://t.co/R386fVGuKN",0,FALSE,FALSE,"983631850248818688",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",FALSE,"Tue Apr 10 09:04:42 +0000 2018",NA,NA,"en",135,FALSE,NA,"360228775","My Tweets are mostly  about Football & Horse Racing;but, I know sweet F.A. like many others who claim to be experts ! #No #Direct #messages #please!",TRUE,"Mon Aug 22 22:06:33 +0000 2011",20147,46124,2976,FALSE,NA,"Altay Ergun","Amsterdam","en",7200,44152,"AltayErgun",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.theguardian.com/commentisfree/2018/apr/09/douma-syria-regime-bashar-al-assad-murder-civilians?CMP=share_btn_tw","https://t.co/R386fVGuKN"
"34","RT @HillelNeuer: Recap: our @UN leaders.
<ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> Iran sits on @UN_Women
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6> Saudi Arabia on @UN_HRC + @UN_CSW (women's rights)
<ed><U+00A0><U+00BC><ed><U+00B7><U+00B9><ed><U+00A0><U+00BC><ed><U+00B7><U+00B7> Turkey on @UN C…",334,FALSE,FALSE,"983631833282809856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",FALSE,"Tue Apr 10 09:04:38 +0000 2018",NA,NA,"en",0,FALSE,NA,"949251307159814144",NA,FALSE,"Fri Jan 05 12:08:42 +0000 2018",75,1,83,FALSE,NA,"Daniel Hellström",NA,"sv",NA,70,"DanielBj0rn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","RT @lloyd_rm: Just wrote for @evolvepolitics about my trip to northern Syria where I saw how Britain is backing both sides of the conflict.…",62,FALSE,FALSE,"983631851205152768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:42 +0000 2018",NA,NA,"en",51,FALSE,"staffordshire","396609748","armchair stalker.",TRUE,"Sun Oct 23 14:34:14 +0000 2011",31657,304,1280,FALSE,NA,"Kathleen Haswell",NA,"en",NA,247,"KathHaswell",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","RT @Reptoid_Hunter: Another Syria False Flag, Israel Kills Journalist &amp; YouTube Exposed For Illegally Spying On Children (Article) — Steemi…",1,FALSE,FALSE,"983631851507077121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:43 +0000 2018",NA,NA,"en",0,FALSE,"Past The Event Horizon","982026604061888513","<ed><U+00A0><U+00BD><ed><U+00B2><U+008E>",FALSE,"Thu Apr 05 22:46:02 +0000 2018",42,2,26,FALSE,NA,"BigDave",NA,"en",NA,127,"BigDaveBoyo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","RT @carolinagirl63: The President is dealing with major issues—Syria, North Korea, Iran, Russia, China, securing our borders, etc. and #Dee…",36,FALSE,FALSE,"983631853025464320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FALSE,"Tue Apr 10 09:04:43 +0000 2018",NA,NA,"en",11,FALSE,NA,"771070959155552257","#Election2016",TRUE,"Wed Aug 31 19:43:37 +0000 2016",12701,165,11722,FALSE,NA,"Bretzles",NA,"en",NA,60,"bretzles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
